Name,Year,Ranking,Duration,Classification,Score,Country,Language
One Flew Over the Cuckoo's Nest,1975,M,133min,Drama,8.7,American,English
The Godfather: Part II,1974,M,202min,Crime,9,American,English
The Godfather,1972,R,175min,Crime,9.2,American,English
The Room,2003,M,99min,Drama,3.7,American,English
Fateful Findings,2013,,100min,Drama,4.7,American,English
Call Me by Your Name,2017,M,132min,Drama,7.9,American,English
Moonlight,2016,M,111min,Drama,7.4,American,English
Sorry to Bother You,2018,MA15+,111min,Comedy,7,American,English
The Shape of Water,2017,MA15+,123min,Adventure,7.3,American,English
Isle of Dogs,2018,PG,101min,Animation,7.9,Japan,Japanese
Love Simon,2018,M,110min,Comedy,7.6,American,English
The First Purge,2018,MA15+,98min,Action,5.1,American,English
Incredibles 2,2018,PG,118min,Animation,7.7,American,English
Jurassic World: Fallen Kingdom,2018,M,128min,Action,6.2,American,English
Jurassic World: Fallen Kingdom,2018,M,128min,Action,6.2,American,English
Hereditary,2018,MA15+,127min,Drama,7.3,American,English
Action Point,2018,MA15+,85min,Comedy,5.1,American,English
Solo: A Star Wars Story,2018,M,135min,Action,7,American,English
Deadpool 2,2018,MA15+,119min,Action,7.7,American,English
Show Dogs,2018,PG,92min,Adventure,3.6,American,English
Life of the Party,2018,M,105min,Comedy,5.6,American,English
Super Troopers 2,2018,MA15+,99min,Comedy,6.1,England,English
Truth or Dare,2018,M,100min,Horror,5.1,American,English
The Post,2017,M,116min,Biography,7.2,American,English
The Miracle Season,2018,PG,101min,Drama,6.5,American,English
Bad Samaritan,2018,R,110min,Crime,6.4,American,English
Blockers,2018,MA15+,102min,Comedy,6.2,American,English
Avengers: Infinity War,2018,M,149min,Action,8.5,American,English
Rampage,2018,M,107min,Action,6.1,American,English
I Feel Pretty,2018,M,110min,Comedy,5.5,American,English
A Quiet Place,2018,M,90min,Drama,7.5,American,English
Star Wars: Episode VIII - The Last Jedi,2017,M,152min,Action,7.1,American,English
Apocalyptic,2014,MA15+,84min,Horror,4.6,American,English
Jumanji: Welcome to the Jungle,2017,PG,119min,Action,6.9,American,English
Black Panther,2018,M,134min,Action,7.3,American,English
Wish Upon,2017,M,90min,Drama,5,American,English
The Emoji Movie,2017,G,86min,Animation,3.2,American,English
Insidious: The Last Key,2018,M,103min,Horror,5.7,American,English
The Greatest Showman,2017,PG,105min,Biography,7.6,American,English
It Follows,2014,MA15+,100min,Horror,6.8,Mexico,Spanish
The Incredibles,2004,PG,115min,Animation,8,American,English
The Breakfast Club,1985,M,97min,Comedy,7.9,American,English
It,2017,MA15+,135min,Horror,7.4,American,English
Justice League,2017,M,120min,Action,6.4,American,English
Wonder Woman,2017,M,141min,Action,7.4,American,English
The Adventures of Sharkboy and Lavagirl 3-D,2005,G,93min,Action,3.5,American,English
The Dark Knight,2008,M,152min,Action,9,American,English
Birdemic: Shock and Terror,2010,M,105min,Action,1.8,American,English
Across the Universe,2007,M,133min,Drama,7.4,American,English
Unfriended: Dark Web,2018,MA15+,92min,Horror,5.9,American,English
Death of a Nation,2018,PG-13,108min,Documentary,4.6,American,English
Christopher Robin,2018,(Banned),104min,Adventure,7.3,American,English
The Sandlot Kids,1993,PG,101min,Comedy,7.8,American,English
Shutter Island,2010,MA15+,138min,Mystery,8.1,American,English
