Name,Ranking,Classifaication,Country,Score
One Flew Over the Cuckoo's Nest,M,Drama,American,8.7
The Godfather: Part II,M,Crime,American,9
The Godfather,R,Crime,American,9.2
The Room,M,Drama,American,3.7
Fateful Findings,,Drama,American,4.7
Call Me by Your Name,M,Drama,American,7.9
Moonlight,M,Drama,American,7.4
Sorry to Bother You,MA15+,Comedy,American,7
The Shape of Water,MA15+,Adventure,American,7.3
Isle of Dogs,PG,Animation,Japan,7.9
Love Simon,M,Comedy,American,7.6
The First Purge,MA15+,Action,American,5.1
Incredibles 2,PG,Animation,American,7.7
Jurassic World: Fallen Kingdom,M,Action,American,6.2
Jurassic World: Fallen Kingdom,M,Action,American,6.2
Hereditary,MA15+,Drama,American,7.3
Action Point,MA15+,Comedy,American,5.1
Solo: A Star Wars Story,M,Action,American,7
Deadpool 2,MA15+,Action,American,7.7
Show Dogs,PG,Adventure,American,3.6
Life of the Party,M,Comedy,American,5.6
Super Troopers 2,MA15+,Comedy,England,6.1
Truth or Dare,M,Horror,American,5.1
The Post,M,Biography,American,7.2
The Miracle Season,PG,Drama,American,6.5
Bad Samaritan,R,Crime,American,6.4
Blockers,MA15+,Comedy,American,6.2
Avengers: Infinity War,M,Action,American,8.5
Rampage,M,Action,American,6.1
I Feel Pretty,M,Comedy,American,5.5
A Quiet Place,M,Drama,American,7.5
Star Wars: Episode VIII - The Last Jedi,M,Action,American,7.1
Apocalyptic,MA15+,Horror,American,4.6
Jumanji: Welcome to the Jungle,PG,Action,American,6.9
Black Panther,M,Action,American,7.3
Wish Upon,M,Drama,American,5
The Emoji Movie,G,Animation,American,3.2
Insidious: The Last Key,M,Horror,American,5.7
The Greatest Showman,PG,Biography,American,7.6
It Follows,MA15+,Horror,Mexico,6.8
The Incredibles,PG,Animation,American,8
The Breakfast Club,M,Comedy,American,7.9
It,MA15+,Horror,American,7.4
Justice League,M,Action,American,6.4
Wonder Woman,M,Action,American,7.4
The Adventures of Sharkboy and Lavagirl 3-D,G,Action,American,3.5
The Dark Knight,M,Action,American,9
Birdemic: Shock and Terror,M,Action,American,1.8
Across the Universe,M,Drama,American,7.4
Unfriended: Dark Web,MA15+,Horror,American,5.9
Death of a Nation,PG-13,Documentary,American,4.6
Christopher Robin,(Banned),Adventure,American,7.3
The Sandlot Kids,PG,Comedy,American,7.8
Shutter Island,MA15+,Mystery,American,8.1
Searching,M,Drama,American,7.7
A Star Is Born,M,Drama,American,7.7
BlacKkKlansman,MA15+,Biography,American,7.5
The Hate U Give,M,Crime,American,7.3
Halloween,MA15+,Horror,American,6.6
Smallfoot,PG,Animation,American,6.6
Beautiful Boy,MA15+,Biography,American,7.3
Bohemian Rhapsody,M,Biography,American,8
Straight Outta Compton,MA15+,Biography,American,7.9
Fantastic Beasts: The Crimes of Grindelwald,M,Adventure,American,6.6
Grown Ups,PG,Comedy,American,5.9
17 Again,PG,Comedy,American,6.3
Four Holidays,M,Comedy,American,5.6
The Proposal,PG,Comedy,American,6.7
Christmas with the Kranks,PG,Comedy,American,5.3
Home Alone,PG,Comedy,American,7.6
The Grinch,PG,Comedy,American,6.1
Beethoven's Christmas Adventure,PG,Comedy,American,4.4
Three Billboards Outside Ebbing Missouri,MA15+,Crime,American,8.2
The Drowning,,Drama,American,4.4
Gnome Alone,PG,Animation,American,5.6
21,M,Crime,American,6.8
Cloudy with a Chance of Meatballs,G,Animation,American,6.9
Schindler's List,M,Biography,American,8.9
Elf,G,Comedy,England,6.9
Green Book,M,Biography,American,8.2
Spider-Man: Into the Spider-Verse,PG,Animation,American,8.5
Aquaman,M,Action,American,7.1
Captain Ron,M,Adventure,American,5.8
Black Mirror: Bandersnatch,MA15+,Drama,American,7.2
Holmes & Watson,M,Adventure,American,3.8
Welcome to Marwen,M,Biography,American,6.1
Ralph Breaks the Internet,PG,Animation,American,7.1
Escape Room,M,Action,American,6.3
Bird Box,MA15+,Sci-Fi,American,6.6
A Dog's Way Home,PG,Adventure,Japan,6.6
I Now Pronounce You Chuck & Larry,M,Comedy,American,5.9
The Switch,M,Comedy,American,6.1
Glass,M,Drama,American,6.7
Stan & Ollie,PG,Biography,American,7.2
Abducted in Plain Sight,M,Documentary,American,6.8
The Favourite,MA15+,Biography,American,7.6
Mary Poppins Returns,G,Comedy,American,6.8
The Kid Who Would Be King,PG,Action,American,6
Cool Cat Saves the Kids,,Comedy,American,4.6
The Upside,M,Comedy,American,6.8
